car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,age_squared,km_per_year,power_per_cc,mileage_per_hp,age_km_interaction,engine_power_interaction,engine_category,brand_group,brand_model
Hyundai Verna,Hyundai,Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,64,7253.111111111111,0.07979785217940619,0.175306314797361,522224,199838.24,Mid,Mass Market,Hyundai_Verna
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000,25,8333.333333333334,0.07417920656634747,0.17944266788487895,250000,158445.45,Small,Mass Market,Renault_Duster
Mini Cooper,Mini,Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000,16,1200.0,0.09458729364682342,0.07581018518518517,24000,377781.84,Mid,Luxury,Mini_Cooper
Maruti Ciaz,Maruti,Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,25,12666.666666666666,0.07085668534827862,0.31385474860335194,380000,110448.0,Small,Mass Market,Maruti_Ciaz
Maruti Swift,Maruti,Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,25,3333.3333333333335,0.059247397918334666,0.33599999999999997,100000,92352.0,Small,Mass Market,Maruti_Swift
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,1425000,49,8125.0,0.07929104477611941,0.11269005847953216,455000,364310.0,Mid,Luxury,Mercedes-Benz_C-Class
Maruti Swift,Maruti,Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,49,7775.0,0.059247397918334666,0.37866666666666665,435400,92352.0,Small,Mass Market,Maruti_Swift
Toyota Innova,Toyota,Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,64,12222.222222222223,0.04032064128256513,0.12785433070866142,880000,250896.4,Mid,Mass Market,Toyota_Innova
Maruti Baleno,Maruti,Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,36,2857.1428571428573,0.06936560934891485,0.2544589774078478,120000,99470.7,Small,Mass Market,Maruti_Baleno
Maruti Swift Dzire,Maruti,Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,25,6666.666666666667,0.06939899833055092,0.24780128357499406,200000,99518.58,Small,Mass Market,Maruti_Swift Dzire
Volkswagen Vento,Volkswagen,Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,64,5222.222222222223,0.06454033771106941,0.15441458733205374,376000,164913.6,Mid,Mass Market,Volkswagen_Vento
Maruti Alto,Maruti,Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,64,2777.777777777778,0.06716716716716715,0.3071953010279002,200000,66965.79999999999,Small,Mass Market,Maruti_Alto
Hyundai Creta,Hyundai,Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,4,5000.0,0.07972204674668351,0.15463836477987422,30000,199648.4,Mid,Mass Market,Hyundai_Creta
Honda City,Honda,City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,36,7142.857142857143,0.07830440587449933,0.147083685545224,300000,175598.1,Small,Mass Market,Honda_City
Mahindra Bolero,Mahindra,Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,350000,100,2272.7272727272725,0.02496038034865293,0.2125,250000,158949.0,Large,Mass Market,Mahindra_Bolero
Maruti Swift Dzire,Maruti,Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,36,12857.142857142857,0.059247397918334666,0.3545333333333333,540000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Maruti Swift Dzire,Maruti,Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,64,5000.0,0.059247397918334666,0.3545333333333333,360000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Honda City,Honda,City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,196,5150.2,0.0520694259012016,0.2240506329113924,1081542,116766.0,Small,Mass Market,Honda_City
Hyundai i20,Hyundai,i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,9,6250.0,0.068330550918197,0.20745836350470676,75000,97986.42,Small,Mass Market,Hyundai_i20
Toyota Fortuner,Toyota,Fortuner,8,110000,Individual,Diesel,Manual,13.0,2982,168.5,7,1150000,64,12222.222222222223,0.05648675829701642,0.07669616519174041,880000,502467.0,Large,Mass Market,Toyota_Fortuner
Renault KWID,Renault,KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,340000,16,6000.0,0.067,0.33838235294117647,120000,66933.0,Small,Mass Market,Renault_KWID
Honda Amaze,Honda,Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,25,6665.5,0.07396666666666667,0.2072192513368984,199965,106423.24,Small,Mass Market,Honda_Amaze
Hyundai Santro,Hyundai,Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000,144,6153.846153846154,0.05712971481140754,0.2839936608557845,960000,67440.6,Small,Mass Market,Hyundai_Santro
Mahindra XUV500,Mahindra,XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,81,18500.0,0.06422018348623854,0.10709219858156029,1665000,305060.0,Mid,Mass Market,Mahindra_XUV500
Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,64,10000.0,0.059247397918334666,0.312,720000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Hyundai i20,Hyundai,i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,9,3750.0,0.06351467430207589,0.2511980385601248,45000,123867.08,Small,Mass Market,Hyundai_i20
Hyundai i20,Hyundai,i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,9,10000.0,0.06830550918196995,0.22455632017385008,120000,97950.51,Small,Mass Market,Hyundai_i20
Honda City,Honda,City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,36,4454.285714285715,0.07830440587449933,0.1521555367709214,187080,175598.1,Small,Mass Market,Honda_City
Maruti Swift Dzire,Maruti,Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,49,7000.0,0.059247397918334666,0.312,392000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Maruti Baleno,Maruti,Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,25,8737.833333333334,0.06936560934891485,0.2544589774078478,262135,99470.7,Small,Mass Market,Maruti_Baleno
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000,1,20000.0,0.05000667111407605,0.2764612954186414,40000,112290.07999999999,Small,Mass Market,Mahindra_Bolero
Mahindra KUV100,Mahindra,KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000,9,4250.0,0.06839032527105922,0.2186746987951807,51000,98236.0,Small,Mass Market,Mahindra_KUV100
Maruti Baleno,Maruti,Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,25,3666.6666666666665,0.0590823381521056,0.16210526315789475,110000,149460.0,Mid,Mass Market,Maruti_Baleno
Maruti Swift Dzire,Maruti,Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,25,9000.0,0.06939899833055092,0.24780128357499406,270000,99518.58,Small,Mass Market,Maruti_Swift Dzire
Maruti Wagon R,Maruti,Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000,4,3333.3333333333335,0.06710710710710711,0.301440329218107,20000,66905.92000000001,Small,Mass Market,Maruti_Wagon R
Maruti Ignis,Maruti,Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000,4,6666.666666666667,0.0682804674457429,0.25229468599033816,40000,97914.59999999999,Small,Mass Market,Maruti_Ignis
Maruti Wagon R,Maruti,Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000,9,13309.25,0.058218218218218216,0.44962812711291417,159711,58043.67999999999,Small,Mass Market,Maruti_Wagon R
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000,9,6815.75,0.068,0.32608695652173914,81789,67932.0,Small,Mass Market,Datsun_RediGO
Hyundai Verna,Hyundai,Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,49,13750.0,0.07978521794061907,0.1753338570306363,770000,199806.6,Mid,Mass Market,Hyundai_Verna
Hyundai i20,Hyundai,i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,25,11666.666666666666,0.06351467430207589,0.2511980385601248,350000,123867.08,Small,Mass Market,Hyundai_i20
Maruti Swift Dzire,Maruti,Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,16,14000.0,0.059247397918334666,0.3545333333333333,280000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000,4,13000.0,0.06830550918196995,0.22455632017385008,78000,97950.51,Small,Mass Market,Hyundai_i20
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000,196,3733.3333333333335,0.05795768169273229,0.278125,784000,68418.0,Small,Mass Market,Hyundai_Santro
Hyundai i20,Hyundai,i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000,9,8500.0,0.06830550918196995,0.22455632017385008,102000,97950.51,Small,Mass Market,Hyundai_i20
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000,16,10000.0,0.06006006006006006,0.1272727272727273,200000,239640.0,Mid,Mass Market,Mahindra_Scorpio
Volkswagen Vento,Volkswagen,Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000,81,7740.0,0.06479049405878674,0.19636711281070746,696600,165552.8,Mid,Mass Market,Volkswagen_Vento
Mahindra Marazzo,Mahindra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000,4,12000.0,0.08077436582109479,0.1418032786885246,72000,181137.0,Small,Mass Market,Mahindra_Marazzo
Hyundai Verna,Hyundai,Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000,64,5319.555555555556,0.07591700133868809,0.21849327040727146,383008,169336.06,Small,Mass Market,Hyundai_Verna
Mahindra XUV500,Mahindra,XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000,9,5375.0,0.07012385321100918,0.0981347891076883,64500,333103.73,Mid,Mass Market,Mahindra_XUV500
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000,36,10714.285714285714,0.06244424620874219,0.3380281690140845,450000,78400.0,Small,Mass Market,Hyundai_Grand
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000,16,11600.0,0.07251461988304093,0.20683371298405467,232000,103812.8,Small,Mass Market,Ford_Aspire
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000,9,7500.0,0.0682804674457429,0.2561594202898551,90000,97914.59999999999,Small,Mass Market,Maruti_Swift Dzire
Hyundai Grand,Hyundai,Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000,9,12500.0,0.0623167649536647,0.3201280512204882,150000,87728.42,Small,Mass Market,Hyundai_Grand
Ford Figo,Ford,Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000,16,3818.6,0.07251461988304093,0.20683371298405467,76372,103812.8,Small,Mass Market,Ford_Figo
Honda Amaze,Honda,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000,49,6250.0,0.07231025854879067,0.20524515393386544,350000,103866.6,Small,Mass Market,Honda_Amaze
Maruti Wagon R,Maruti,Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000,225,2312.5,0.060263653483992465,0.2153846153846154,555000,67904.0,Small,Mass Market,Maruti_Wagon R
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000,25,7833.333333333333,0.059247397918334666,0.3545333333333333,235000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Honda City,Honda,City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000,64,7777.777777777777,0.07763684913217624,0.14322250639386191,560000,174101.1,Small,Mass Market,Honda_City
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000,25,4166.666666666667,0.06662499999999999,0.46353591160221,125000,42586.7,Small,Mass Market,Renault_KWID
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000,9,6500.0,0.07085668534827862,0.27150837988826815,78000,110448.0,Small,Mass Market,Maruti_Vitara
Ford Aspire,Ford,Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000,16,6000.0,0.07251461988304093,0.20683371298405467,120000,103812.8,Small,Mass Market,Ford_Aspire
Hyundai i20,Hyundai,i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000,64,1666.6666666666667,0.06919866444073457,0.2205005959475566,120000,99231.3,Small,Mass Market,Hyundai_i20
Maruti Swift,Maruti,Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000,100,14545.454545454546,0.0600480384307446,0.23421052631578948,1600000,93600.0,Small,Mass Market,Maruti_Swift
Tata Tiago,Tata,Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000,16,6420.0,0.07,0.28047058823529414,128400,100716.0,Small,Mass Market,Tata_Tiago
Hyundai i20,Hyundai,i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000,25,3666.6666666666665,0.06919866444073457,0.2205005959475566,110000,99231.3,Small,Mass Market,Hyundai_i20
Mahindra Scorpio,Mahindra,Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000,25,7333.333333333333,0.05504587155963303,0.1272727272727273,220000,261480.0,Mid,Mass Market,Mahindra_Scorpio
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000,25,13000.0,0.061718098415346125,0.2504,390000,88652.0,Small,Mass Market,Volkswagen_Polo
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000,81,7435.2,0.10350584307178631,0.0627807486631016,669168,334056.0,Mid,Luxury,Mercedes-Benz_C-Class
Maruti Wagon R,Maruti,Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000,49,4625.0,0.06710710710710711,0.301440329218107,259000,66905.92000000001,Small,Mass Market,Maruti_Wagon R
Honda City,Honda,City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000,49,8625.0,0.0657771847898599,0.2520080321285141,483000,147702.8,Small,Mass Market,Honda_City
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000,4,4040.0,0.07570093457943926,0.14685314685314685,24240,169759.80000000002,Small,Mass Market,Kia_Seltos
Maruti Baleno,Maruti,Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000,25,8666.666666666666,0.0682804674457429,0.25374396135265703,260000,97914.59999999999,Small,Mass Market,Maruti_Baleno
Toyota Innova,Toyota,Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000,25,20000.0,0.04032064128256513,0.12785433070866142,600000,250896.4,Mid,Mass Market,Toyota_Innova
Maruti Alto,Maruti,Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000,64,6111.111111111111,0.059347553324968626,0.47080745341614905,440000,37650.799999999996,Small,Mass Market,Maruti_Alto
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000,100,14545.454545454546,0.06442376521116679,0.24065934065934064,1600000,125640.0,Small,Mass Market,Hyundai_i20
Ford Figo,Ford,Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000,100,3636.3636363636365,0.05847953216374269,0.21971830985915491,400000,83720.0,Small,Mass Market,Ford_Figo
Maruti Swift Dzire,Maruti,Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000,81,4600.0,0.07161936560934891,0.22004608294930877,414000,102702.59999999999,Small,Mass Market,Maruti_Swift Dzire
Maruti Baleno,Maruti,Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000,16,5000.0,0.06936560934891485,0.2544589774078478,100000,99470.7,Small,Mass Market,Maruti_Baleno
Volkswagen Polo,Volkswagen,Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000,64,10000.0,0.06158333333333334,0.2946595460614152,720000,88606.1,Small,Mass Market,Volkswagen_Polo
Hyundai i20,Hyundai,i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000,81,4956.6,0.06915692821368948,0.2206320810971974,446094,99171.45,Small,Mass Market,Hyundai_i20
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,9,3500.0,0.07972204674668351,0.17295597484276728,42000,199648.4,Mid,Mass Market,Hyundai_Verna
Hyundai i20,Hyundai,i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000,25,1833.3333333333333,0.06830550918196995,0.22455632017385008,55000,97950.51,Small,Mass Market,Hyundai_i20
Maruti Celerio,Maruti,Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000,9,1250.0,0.06710710710710711,0.3395061728395062,15000,66905.92000000001,Small,Mass Market,Maruti_Celerio
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000,16,11000.0,0.06601734489659773,0.2300920368147259,220000,148242.08,Small,Mass Market,Ford_Ecosport
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000,81,6500.0,0.07979785217940619,0.14985862393967955,585000,199838.24,Mid,Mass Market,Hyundai_Verna
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000,9,5500.0,0.067,0.33838235294117647,66000,66933.0,Small,Mass Market,Renault_KWID
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000,9,1917.75,0.0682804674457429,0.25374396135265703,23013,97914.59999999999,Small,Mass Market,Maruti_Baleno
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000,25,11000.0,0.06710710710710711,0.301440329218107,330000,66905.92000000001,Small,Mass Market,Maruti_Wagon R
Maruti Swift Dzire,Maruti,Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000,9,11289.0,0.0682804674457429,0.2561594202898551,135468,97914.59999999999,Small,Mass Market,Maruti_Swift Dzire
Hyundai Venue,Hyundai,Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000,4,8333.333333333334,0.11846846846846847,0.1530791788856305,50000,118113.29999999999,Small,Mass Market,Hyundai_Venue
Hyundai Verna,Hyundai,Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000,36,17142.85714285714,0.07972204674668351,0.18789308176100628,720000,199648.4,Mid,Mass Market,Hyundai_Verna
Maruti Swift,Maruti,Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000,49,3500.0,0.0709515859766277,0.18720930232558142,196000,101745.0,Small,Mass Market,Maruti_Swift
Hyundai i20,Hyundai,i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000,64,6111.111111111111,0.06353614889047961,0.2439839572192513,440000,123908.96,Small,Mass Market,Hyundai_i20
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000,4,4666.666666666667,0.07972204674668351,0.17295597484276728,28000,199648.4,Mid,Mass Market,Hyundai_Verna
Maruti Wagon R,Maruti,Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000,144,7598.461538461538,0.06716716716716715,0.2775330396475771,1185360,66965.79999999999,Small,Mass Market,Maruti_Wagon R
Maruti Swift,Maruti,Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000,36,8285.714285714286,0.059247397918334666,0.33599999999999997,348000,92352.0,Small,Mass Market,Maruti_Swift
Maruti Alto,Maruti,Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000,100,2727.2727272727275,0.06716716716716715,0.3071953010279002,300000,66965.79999999999,Small,Mass Market,Maruti_Alto
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000,25,7733.333333333333,0.05504587155963303,0.1272727272727273,232000,261480.0,Mid,Mass Market,Mahindra_Scorpio
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000,49,4013.875,0.06260349586016559,0.28689355539464156,224777,73902.3,Small,Mass Market,Hyundai_i10
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000,36,5000.0,0.05587989991659716,0.2858823529411765,210000,80266.0,Small,Mass Market,Datsun_GO
Mahindra Scorpio,Mahindra,Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000,16,6000.0,0.06006006006006006,0.1272727272727273,120000,239640.0,Mid,Mass Market,Mahindra_Scorpio
BMW 5,BMW,5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000,25,10500.0,0.08733800935203741,0.0708217455903082,315000,782639.5700000001,Large,Luxury,BMW_5
Datsun GO,Datsun,GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000,9,2500.0,0.05587989991659716,0.30323529411764705,30000,80266.0,Small,Mass Market,Datsun_GO
Maruti Swift Dzire,Maruti,Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000,16,5000.0,0.05926341072858286,0.3785657158091176,100000,92376.95999999999,Small,Mass Market,Maruti_Swift Dzire
Hyundai Creta,Hyundai,Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000,16,20400.0,0.07972204674668351,0.13372641509433963,408000,199648.4,Mid,Mass Market,Hyundai_Creta
Maruti Swift,Maruti,Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000,9,8750.0,0.0682804674457429,0.26570048309178745,105000,97914.59999999999,Small,Mass Market,Maruti_Swift
Maruti Swift Dzire,Maruti,Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000,81,4994.8,0.06605080831408776,0.20161290322580647,449532,111368.4,Small,Mass Market,Maruti_Swift Dzire
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000,9,13750.0,0.06601734489659773,0.2300920368147259,165000,148242.08,Small,Mass Market,Ford_Ecosport
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000,36,5142.857142857143,0.06844741235392321,0.22771084337349395,216000,98154.0,Small,Mass Market,Hyundai_Grand
Honda City,Honda,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000,25,8270.833333333334,0.07830440587449933,0.15046491969568893,248125,175598.1,Small,Mass Market,Honda_City
Maruti Swift Dzire,Maruti,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000,49,4375.0,0.059247397918334666,0.312,245000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000,64,10555.555555555555,0.05504587155963303,0.09958677685950414,760000,261480.0,Mid,Mass Market,Mahindra_Scorpio
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000,16,7200.0,0.06604402935290193,0.2583,144000,148302.0,Small,Mass Market,Ford_Aspire
Maruti Wagon R,Maruti,Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000,4,16666.666666666668,0.06711711711711711,0.32020573108008815,100000,66915.9,Small,Mass Market,Maruti_Wagon R
Maruti Swift Dzire,Maruti,Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000,36,3785.714285714286,0.06939899833055092,0.24780128357499406,159000,99518.58,Small,Mass Market,Maruti_Swift Dzire
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000,36,11428.57142857143,0.07700700700700701,0.08846700245382925,480000,307258.42000000004,Mid,Mass Market,Honda_CR-V
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000,36,6571.428571428572,0.061718098415346125,0.2196,276000,88652.0,Small,Mass Market,Volkswagen_Polo
